"VUS","AvgMs_Before","AvgMs_After","AvgMs_ImprovePct","P95Ms_Before","P95Ms_After","P95Ms_ImprovePct","ErrorRatePct_Before","ErrorRatePct_After","Rps_Before","Rps_After","Rps_GainPct","TotalReqs_Before","TotalReqs_After"
"20","14.07","5.07","63.96","18.39","7.35","60.02","0","0","1404.96","3838.95","173.24","421470","1151645"
"50","35.73","12.02","66.35","51.2","17.61","65.59","0","0","1392.46","4101.21","194.53","417745","1230291"
"100","66.98","24.24","63.8","109.31","34.54","68.4","0","0","1489.2","4094.34","174.93","446793","1228165"
